0, 0, 0, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 54, 53, 52, 51, 51, 51, 50, 50, 50, 49, 49, 49, 49, 49, 48, 48, 48, 48, 48, 48, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 48, 48, 48, 48, 48, 48, 49, 49, 49, 50, 50, 50, 51, 51, 52, 52, 53, 255, 255, 255, 255, 255, 255, 231, 230, 229, 228, 228, 227, 227, 227, 227, 227, 229, 255
0, 78, 90, 58, 58, 58, 58, 58, 58, 59, 59, 59, 59, 59, 60, 60, 60, 60, 61, 61, 61, 62, 62, 62, 62, 63, 255, 255, 154, 153, 153, 153, 153, 152, 152, 151, 152, 152, 141, 140, 140, 139, 139, 138, 138, 138, 138, 138, 138, 138, 137, 138, 137, 137, 137, 137, 138, 138, 138, 138, 139, 139, 139, 141, 141, 255, 255, 255, 255, 255, 255, 255, 255, 56, 55, 54, 53, 53, 53, 52, 52, 52, 51, 51, 50, 50, 50, 50, 50, 50, 49, 49, 49, 49
0, 167, 90, 59, 59, 59, 59, 60, 60, 60, 60, 60, 60, 60, 61, 60, 62, 64, 65, 64, 61, 80, 80, 80, 80, 80, 80, 55, 54, 54, 53, 53, 52, 52, 52, 51, 51, 51, 51, 50, 50, 50, 50, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 50, 50, 50, 50, 51, 51, 51, 51, 52, 51, 52, 53, 52, 54, 54, 52, 255, 54, 52, 55, 53, 52, 51, 51, 51, 51, 50, 50, 50, 50, 50, 50, 50
-33, 204, 90, 97, 255, 255, 255, 97, 96, 96, 95, 95, 95, 96, 96, 96, 97, 97, 98, 98, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 127, 127, 127, 126, 127, 127, 127, 128, 129, 129, 130, 131, 129, 125, 124, 124, 123, 123, 123, 123, 123, 123, 123, 123, 123, 124, 124, 125, 126, 126, 126, 127, 128, 128, 129, 129, 255, 23, 23, 23, 23, 23, 23, 23, 23, 22, 22, 22, 22, 22, 22, 21, 21, 21, 21, 20, 20, 20, 20
-33, 293, 0, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 104, 103, 103, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 47, 46, 45, 45, 45, 44, 44, 44, 44, 44, 44, 44, 43, 43, 43
147, 293, 0, 255, 255, 255, 252, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 24, 24, 23, 23, 23, 23, 23, 23, 23, 23, 22, 22, 22, 22, 22, 21, 21, 21, 21, 21, 21, 20, 20, 20, 20, 20, 20, 20, 20, 20, 21, 21, 21, 21, 21, 21, 21, 22, 22, 22, 22, 22, 22, 23, 23, 23, 23, 23, 23, 24, 53, 51, 50, 49, 49, 49, 48, 48, 48, 48, 47, 47, 47, 47, 47, 47, 47, 47
151, 263, -90, 76, 76, 76, 76, 76, 76, 76, 76, 77, 77, 77, 77, 78, 78, 78, 78, 78, 78, 79, 79, 79, 79, 80, 80, 80, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 29, 27, 27, 27, 26, 25, 25, 24, 24, 24, 24, 24, 24, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23
150, 203, -90, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 24, 24, 25, 26, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 157, 156, 156, 156, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 156, 156, 157, 157, 255, 255, 255, 255, 255, 255, 255, 255, 255, 28, 27, 26, 26, 26, 26, 25, 25, 25, 24, 24, 24, 24, 24, 24, 24, 23, 23, 23, 23, 23, 23
149, 103, -90, 77, 77, 77, 77, 77, 77, 77, 77, 78, 78, 78, 79, 80, 80, 81, 81, 81, 81, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 63, 61, 61, 60, 60, 59, 59, 59, 59, 59, 59, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 59, 59, 59, 60, 60, 60, 61, 30, 30, 30, 29, 28, 28, 28, 27, 27, 27, 27, 26, 26, 26, 25, 25, 25, 25, 25, 25, 25, 25, 24, 24
97, 63, -90, 29, 29, 29, 29, 29, 29, 29, 29, 30, 30, 30, 30, 30, 30, 31, 30, 30, 31, 31, 31, 32, 32, 32, 33, 33, 34, 35, 37, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 79, 79, 78, 77, 77, 77, 77, 77, 77, 78, 79, 80, 80, 79, 78, 75, 74, 74, 73, 73, 73, 73, 73, 73
